State;ELM;SVR;XGBoost;EEMD--HEM;EEMD--ELM;EEMD--SVR;EEMD--XGBoost;ARIMA;EEMD--LSTM;LSTM
BA;875;1097;2210;2155;2056;2155;1131;2100;-148;1278
BA;-2159;-2330;-1630;-197;-52;-197;68;-1849;-2423;-1072
BA;-1450;-1327;-2097;-205;-1265;-205;-230;-2196;-2362;-359
BA;2016;1342;613;437;757;437;-204;354;-89;-1056
BA;1508;1656;841;460;554;460;2152;682;-1499;-760
BA;1203;-121;363;-657;-1417;-657;942;-591;-1311;-359
BA;1070;-447;-308;1153;497;1153;1405;-322;-1744;-1348
BA;-82;-455;-644;46;1245;46;2103;1452;-148;1278
BA;-709;-61;-772;-854;-409;-854;-443;-2423;-2423;-1072
BA;-545;-357;134;-872;-1507;-872;-985;-2689;-2362;-359
BA;-439;-936;1021;-582;-1437;-582;545;-686;-89;-1056
BA;405;-849;-232;-900;-1816;-900;812;-519;-1499;-760
BA;1928;339;938;341;-925;341;1321;17;-1311;-359
BA;-559;-1327;591;-794;-1793;-794;353;-1048;-1744;-1348
CE;938;138;626;574;1935;1317;1360;627;25;-792
CE;-106;-374;-386;-488;976;476;-17;-795;-306;-278
CE;-764;-500;202;-130;-869;-243;-703;-871;-214;-405
CE;-205;-57;537;-8;565;619;658;451;293;861
CE;-552;-273;337;-350;599;581;688;427;561;-1583
CE;-767;-496;838;-148;730;518;937;385;85;2
CE;-203;66;1485;454;1851;1338;1326;880;521;-919
CE;-390;-678;-955;-491;-359;-543;-227;-449;25;-792
CE;-97;-367;-600;11;173;-165;-449;-942;-306;-278
CE;-657;-738;-293;-1;-726;-426;-19;-809;-214;-405
CE;402;471;675;537;578;795;207;1037;293;861
CE;-1291;-714;-285;-655;-790;-474;-164;-186;561;-1583
CE;-937;-144;487;139;-559;-92;-744;321;85;2
CE;-631;-76;-229;-163;-418;-75;727;483;521;-919
DF;-115;-342;-329;-111;-59;-96;-283;-171;-485;-217
DF;412;263;570;376;897;185;-52;12;-577;-366
DF;-51;-467;-142;-202;118;-399;-472;-350;-570;-204
DF;1541;1124;1479;1216;1472;1426;1314;1288;-453;-456
DF;241;-684;-220;-405;-136;-175;-237;-332;-617;-551
DF;845;-602;-483;-305;-89;-279;-204;-297;-566;-503
DF;1532;-498;-658;-281;-543;-493;-213;-602;-464;-434
DF;293;344;-125;196;77;-285;-298;-500;-485;-217
DF;-160;-548;-615;-331;-303;-519;-126;-589;-577;-366
DF;240;-231;-204;-116;-71;-500;-595;-625;-570;-204
DF;929;-86;-163;165;53;-745;-514;-427;-453;-456
DF;1319;270;57;156;-548;-636;-640;-744;-617;-551
DF;1830;154;-118;388;-445;-443;-386;-653;-566;-503
DF;2132;31;-183;254;-437;-364;-499;-622;-464;-434
GO;124;178;592;535;624;-97;-117;-1387;-2551;84
GO;-295;16;-586;-1016;-254;-681;187;-1963;-3044;-2544
GO;1631;1459;456;581;2100;1556;1711;1154;-569;-92
GO;477;-167;-316;-175;683;690;487;734;-1061;56
GO;-117;427;224;104;2116;983;42;723;-164;660
GO;-1480;-1135;-810;-1095;903;-247;-1008;-649;608;915
GO;-615;-596;255;-422;1335;-86;-391;-565;-1437;2024
GO;-870;-1164;-255;-798;-226;-983;-1242;-2407;-2551;84
GO;-1010;-1733;-1132;-852;-720;-973;-1250;-2133;-3044;-2544
GO;890;192;1607;962;1115;643;1199;414;-569;-92
GO;464;-86;1154;153;567;433;297;596;-1061;56
GO;500;924;1375;957;1931;1008;840;1060;-164;660
GO;1023;1292;1603;1314;1942;1394;1027;1131;608;915
