State;ELM;SVR;XGBoost;EEMD--HEM;EEMD--ELM;EEMD--SVR;EEMD--XGBoost;ARIMA;EEMD--LSTM;LSTM
GO;286;603;258;508;1827;710;164;116;-1437;2024
MA;40;-5;-100;-135;-210;-135;4;-126;151;349
MA;88;-53;-76;-34;-268;-34;9;-207;-394;-124
MA;-566;-245;-425;-227;-362;-227;-73;-467;-384;-249
MA;-413;-230;-560;-242;-24;-242;-524;-275;-195;-257
MA;440;705;310;320;699;320;271;276;330;294
MA;166;412;-9;-121;141;-121;-305;-158;-136;-201
MA;319;456;529;-15;133;-15;7;85;240;134
MA;223;106;-12;63;20;63;-117;-145;151;349
MA;-369;-251;-341;-92;-398;-92;-483;-417;-394;-124
MA;-260;-355;-525;-143;-567;-143;-118;-559;-384;-249
MA;-118;-20;-311;114;106;114;-185;-235;-195;-257
MA;651;409;327;326;698;326;254;308;330;294
MA;350;226;167;-25;173;-25;-286;-156;-136;-201
MA;696;357;513;111;335;111;81;199;240;134
MG;-525;-611;-255;-577;-240;-327;-284;-115;-994;-234
MG;530;211;756;351;208;448;193;934;-1277;-99
MG;-168;-460;-826;-452;-723;-398;65;-622;-2360;-1196
MG;645;481;11;248;466;492;1313;520;-1025;-815
MG;750;-78;-614;284;499;-129;-200;216;-724;-100
MG;807;86;378;367;811;201;194;443;-755;-487
MG;49;-389;-810;-267;100;93;-352;52;-721;-365
MG;157;219;19;261;261;145;103;101;-994;-234
MG;-412;-247;15;-176;-455;-232;-382;312;-1277;-99
MG;-609;-484;-727;-376;-469;-409;265;-421;-2360;-1196
MG;-199;-677;-307;-111;-182;-574;-1268;-72;-1025;-815
MG;240;-351;-449;189;740;-160;-111;246;-724;-100
MG;-629;-1132;-1070;-622;79;-928;-729;-587;-755;-487
MG;-334;-823;-922;-197;391;-419;-554;-445;-721;-365
PA;-226;142;-443;32;-841;-382;-1236;-927;-71;585
PA;-824;-461;-400;-525;-727;-465;-265;-1257;-611;-516
PA;338;137;544;-8;143;286;329;377;-710;-612
PA;411;268;858;193;208;-133;53;243;-1008;-665
PA;440;522;215;442;29;-341;-168;-17;-1127;-455
PA;508;184;-220;211;-125;-606;-276;-197;-1291;-716
PA;980;200;416;371;-752;-541;182;-417;-847;-381
PA;-33;198;30;150;-570;196;519;-647;-71;585
PA;-420;-146;-415;-110;-537;-373;121;-1165;-611;-516
PA;187;147;54;178;-304;-288;351;-221;-710;-612
PA;-35;-255;-75;-9;-272;-472;-228;-261;-1008;-665
PA;21;-468;-303;-27;-404;-179;350;-217;-1127;-455
PA;-624;-1202;-299;-522;-325;-383;-203;-452;-1291;-716
PA;-167;-913;409;-112;-115;-14;438;-216;-847;-381
RJ;1445;157;188;371;1030;1652;1202;1069;2439;2849
RJ;-758;240;-777;-502;-1833;-820;-335;-1891;-842;-882
RJ;-1426;-2115;-1090;-953;-1952;-1438;-949;-1978;-2162;-1919
RJ;1570;1760;951;474;269;394;769;238;1138;1543
RJ;1063;118;1010;925;324;503;966;251;-910;-74
RJ;1035;1308;965;1049;235;726;532;87;790;266
RJ;-1383;-2600;-2538;-2237;-2313;-1634;-1732;-2452;-923;-78
RJ;1697;1171;314;848;2058;2626;2164;1400;2439;2849
RJ;-1468;-714;-702;-490;-601;-278;-407;-2030;-842;-882
RJ;-2148;-2070;-940;-419;-1548;-832;-3401;-2061;-2162;-1919
RJ;723;1407;323;667;1334;1590;2357;764;1138;1543
RJ;-782;-1410;-434;-386;-583;-194;-1329;-889;-910;-74
RJ;541;182;288;85;-203;573;-240;-497;790;266
RJ;1253;40;397;171;-78;897;153;-234;-923;-78
SC;397;1100;-1333;-94;1061;-51;-1196;199;-754;2913
SC;-414;1727;-3718;-1736;811;-503;-941;-600;-5192;-469
SC;-793;3486;-2410;-1956;1053;-35;-501;-607;26092;30036
SC;-285;3757;-1238;-2155;1235;153;-725;-18;-2268;742
SC;-2268;1113;-3672;-2921;648;-609;-982;-611;-1664;-68
SC;-1210;-2113;-2975;-2489;1225;-17;-803;89;-2723;-481
SC;-2520;-5467;-1905;-1514;1832;401;11;308;-1523;1404
SC;5934;10190;302;3872;3972;2940;2877;3252;-754;2913
SC;-536;-6322;-3979;-7549;913;-324;-781;-624;-5192;-469
SC;25818;13883;26857;20115;30911;29698;29426;29265;26092;30036
SC;-2419;-15878;-567;-4419;1880;681;-319;522;-2268;742
SC;-7254;-15135;432;-2580;1186;-23;-963;-433;-1664;-68
SC;-2978;-13152;1972;-3448;728;-404;-1322;-307;-2723;-481
SC;-6190;-4830;2616;1297;1595;122;-667;646;-1523;1404
SP;4149;3004;1944;434;5152;6654;3788;5393;-1696;-1104
SP;-4845;-966;2623;502;1727;1927;-1821;-3938;-11487;-3028
SP;-4329;-3178;3208;-1053;-2942;-2481;-1465;-6472;-12720;-1317
SP;3448;2363;4497;-461;952;1850;-3204;367;-1958;-244
SP;5547;3371;5670;2065;1019;1982;1461;1642;1205;1456
SP;5376;-237;-1927;-2456;-1144;703;-3285;-505;-876;-201
SP;7997;4649;4965;5487;4901;5923;-2796;2933;-3797;1034
SP;-2521;-3218;-2683;-2087;-3352;-4244;-5040;-2678;-1696;-1104
SP;-4390;-4677;-2543;-4557;-3606;-3176;-9572;-6841;-11487;-3028
SP;-8687;-5239;-2478;-6173;-3752;-3633;-5379;-7885;-12720;-1317
SP;2858;1293;6369;713;2319;2379;-121;1210;-1958;-244
SP;5913;2324;5244;1817;4164;3436;1298;3133;1205;1456
SP;6631;3739;5639;4373;4809;2807;1138;2824;-876;-201
SP;3171;-1974;-5371;-2629;-1384;-2403;-6020;-1785;-3797;1034
