State;ELM;SVR;XGBoost;EEMD--HEM;EEMD--ELM;EEMD--SVR;EEMD--XGBoost;ARIMA;EEMD--LSTM;LSTM
RJ;-600;237;-381;-724;-2022;-724;-744;-1891;-2015;-1035
RJ;-1648;-1970;-1055;-1435;-2095;-1435;-2184;-1978;-921;-580
RJ;1299;1746;996;565;121;565;-57;238;-515;1966
RJ;1107;531;946;634;207;634;-188;251;-295;454
RJ;1778;1353;1532;908;57;908;540;87;-827;362
RJ;-1472;-2429;-2275;-1594;-2502;-1594;-1821;-2452;-2332;-1585
RJ;2833;2228;1387;2353;1226;2353;2267;1292;1776;2449
RJ;-864;-2415;-1781;-744;-2014;-744;-821;-2137;-1940;-1275
RJ;-592;-1653;-2389;-938;-2061;-938;-1484;-2169;-2231;-597
RJ;2701;850;978;1744;706;1744;512;656;816;2021
RJ;1545;198;-1166;67;-946;67;-1087;-996;-841;-453
RJ;1955;321;-79;458;-502;458;337;-605;415;-56
RJ;2279;1110;254;980;-165;980;540;-341;786;1514
SC;728;996;-1508;421;1681;-22;667;199;-2421;-522
SC;-516;1400;-3526;-1455;1284;-493;-671;-600;-3270;-1171
SC;39;2714;-2520;-1397;326;-158;-53;-607;-2230;-1037
SC;267;2640;-1588;-1436;-102;16;-513;-18;-3332;335
SC;-214;-1;-3456;-2549;298;-676;-1137;-611;-3530;108
SC;-1363;-2770;-3154;-4692;1838;-66;-562;89;-1271;-1091
SC;1412;-5336;-2149;-3579;1614;327;230;308;-796;-1144
SC;4694;-3827;819;-2911;4037;3016;3031;3261;1905;2535
SC;3340;-7143;-3418;-6756;105;-549;-550;-1016;-2885;-1255
SC;35423;24926;28189;22426;30728;29701;30096;29171;27531;29273
SC;16231;-1973;586;419;1515;718;-75;498;-999;-480
SC;10984;-1963;-1546;-6595;883;-5;-617;-205;-1714;-1163
SC;20921;-2597;-1962;150;1514;-335;-1039;-413;-2450;-759
SC;24198;-2954;-1287;1317;2013;314;-28;559;-1526;-730
SP;3691;3073;1905;4202;4202;6462;5512;5393;-1302;3698
SP;-2346;-307;4049;628;628;1828;-2691;-3938;-9025;1802
SP;-3263;-1890;1955;-2399;-2399;-2406;-927;-6472;-7185;-14
SP;4726;3558;-1090;1476;1476;1784;-4307;367;-8857;-6927
SP;4349;3905;2740;898;898;1819;-909;1642;-4396;-4105
SP;3113;-166;-2610;47;47;623;-3820;-505;-9764;-5667
SP;7618;4749;5624;4995;4995;5907;-568;2933;-3032;-752
SP;1916;-4782;-9174;-5169;-5169;-2789;-6432;-3610;-9878;-5641
SP;660;-6860;-8793;-4232;-4232;-2999;-4187;-6841;-17201;-1599
SP;345;-8298;-9542;-4475;-4475;-3432;-1441;-7885;-12018;-1140
SP;11856;407;812;783;783;2898;-3311;1210;-1532;-774
SP;14717;2874;7939;1814;1814;3756;2320;3133;-6956;1250
SP;15992;2255;7815;2237;2237;4331;-1065;2824;1154;-3402
SP;12991;-690;-1647;-3377;-3377;-1900;-6097;-1785;-4443;-2673
