"localidade","state","date","cum_confirmed","cum_deaths","new_confirmed","new_deaths","cum_cases_mins","cum_deaths_mins","new_cases_mins","new_deaths_mins","gl_retail_and_recreation_percent_change_from_baseline","gl_grocery_and_pharmacy_percent_change_from_baseline","gl_parks_percent_change_from_baseline","gl_transit_stations_percent_change_from_baseline","gl_workplaces_percent_change_from_baseline","gl_residential_percent_change_from_baseline","ap_driving"
31,"MG",2020-04-29,1758,80,109,9,1758,80,109,9,-47,-10,-28,-38,-27,14,62.15
31,"MG",2020-04-29,1758,80,109,9,23,0,3,0,-47,-10,-28,-38,-27,14,62.15
31,"MG",2020-04-30,1827,82,69,2,1827,82,69,2,-39,11,-21,-34,-23,12,73.2
31,"MG",2020-04-30,1827,82,69,2,25,0,2,0,-39,11,-21,-34,-23,12,73.2
31,"MG",2020-05-01,1935,88,108,6,1935,88,108,6,-68,-30,-32,-58,-63,22,63.45
31,"MG",2020-05-01,1935,88,108,6,24,0,-1,0,-68,-30,-32,-58,-63,22,63.45
31,"MG",2020-05-02,2023,88,88,0,2023,88,88,0,-54,-2,-24,-42,-23,12,63.97
31,"MG",2020-05-02,2023,88,88,0,26,0,2,0,-54,-2,-24,-42,-23,12,63.97
31,"MG",2020-05-03,2118,89,95,1,2118,89,95,1,-60,-14,-32,-47,-16,9,48.11
31,"MG",2020-05-03,2118,89,95,1,26,0,0,0,-60,-14,-32,-47,-16,9,48.11
31,"MG",2020-05-04,2347,90,229,1,2347,90,229,1,-43,-5,-25,-38,-21,13,61.5
31,"MG",2020-05-04,2347,90,229,1,33,0,7,0,-43,-5,-25,-38,-21,13,61.5
31,"MG",2020-05-05,2452,94,105,4,2452,94,105,4,-43,-2,-26,-37,-23,13,66.55
31,"MG",2020-05-05,2452,94,105,4,35,0,2,0,-43,-2,-26,-37,-23,13,66.55
31,"MG",2020-05-06,2605,97,153,3,2605,97,153,3,-41,1,-24,-35,-23,14,69.78
31,"MG",2020-05-06,2605,97,153,3,35,0,0,0,-41,1,-24,-35,-23,14,69.78
31,"MG",2020-05-07,2770,106,165,9,2770,106,165,9,-39,7,-27,-35,-22,14,69.13
31,"MG",2020-05-07,2770,106,165,9,48,0,13,0,-39,7,-27,-35,-22,14,69.13
31,"MG",2020-05-08,2943,111,173,5,2943,111,173,5,-36,18,-23,-29,-18,13,83.56
31,"MG",2020-05-08,2943,111,173,5,51,0,3,0,-36,18,-23,-29,-18,13,83.56
31,"MG",2020-05-09,3123,118,180,7,3123,118,180,7,-41,19,-24,-29,-12,10,80.2
31,"MG",2020-05-09,3123,118,180,7,53,0,2,0,-41,19,-24,-29,-12,10,80.2
31,"MG",2020-05-10,3237,119,114,1,3237,119,114,1,-53,8,-36,-37,3,7,49.63
31,"MG",2020-05-10,3237,119,114,1,56,0,3,0,-53,8,-36,-37,3,7,49.63
31,"MG",2020-05-11,3320,121,83,2,3320,121,83,2,-39,-1,-24,-35,-19,13,73.8645210727969
31,"MG",2020-05-11,3320,121,83,2,65,0,9,0,-39,-1,-24,-35,-19,13,73.8645210727969
31,"MG",2020-05-12,3435,127,115,6,3435,127,115,6,-41,-1,-26,-35,-21,13,73.8645210727969
31,"MG",2020-05-12,3435,127,115,6,74,0,9,0,-41,-1,-26,-35,-21,13,73.8645210727969
31,"MG",2020-05-13,3733,135,298,8,3733,135,298,8,-42,-6,-27,-36,-22,14,67.72
31,"MG",2020-05-13,3733,135,298,8,78,0,4,0,-42,-6,-27,-36,-22,14,67.72
31,"MG",2020-05-14,3950,139,217,4,3950,139,217,4,-42,-4,-28,-38,-21,13,69.07
31,"MG",2020-05-14,3950,139,217,4,82,0,4,0,-42,-4,-28,-38,-21,13,69.07
31,"MG",2020-05-15,4196,146,246,7,4196,146,246,7,-42,5,-30,-34,-19,14,81.54
31,"MG",2020-05-15,4196,146,246,7,84,0,2,0,-42,5,-30,-34,-19,14,81.54
31,"MG",2020-05-16,4474,150,278,4,4474,150,278,4,-51,-1,-36,-39,-15,13,75.1
31,"MG",2020-05-16,4474,150,278,4,98,0,14,0,-51,-1,-36,-39,-15,13,75.1
31,"MG",2020-05-17,4611,156,137,6,4611,156,137,6,-57,-9,-36,-45,-10,11,51.3
31,"MG",2020-05-17,4611,156,137,6,103,0,5,0,-57,-9,-36,-45,-10,11,51.3
31,"MG",2020-05-18,4695,161,84,5,4695,161,84,5,-41,-6,-26,-37,-17,13,68.11
31,"MG",2020-05-18,4695,161,84,5,105,0,2,0,-41,-6,-26,-37,-17,13,68.11
31,"MG",2020-05-19,4977,167,282,6,4977,167,282,6,-42,-6,-29,-37,-20,13,69.51
31,"MG",2020-05-19,4977,167,282,6,105,0,0,0,-42,-6,-29,-37,-20,13,69.51
31,"MG",2020-05-20,5286,177,309,10,5286,177,309,10,-40,-1,-26,-35,-20,14,72.97
31,"MG",2020-05-20,5286,177,309,10,113,0,8,0,-40,-1,-26,-35,-20,14,72.97
31,"MG",2020-05-21,5596,191,310,14,5596,191,310,14,-38,2,-24,-35,-19,14,73.35
31,"MG",2020-05-21,5596,191,310,14,110,0,-3,0,-38,2,-24,-35,-19,14,73.35
31,"MG",2020-05-22,5995,201,399,10,5995,201,399,10,-40,7,-26,-33,-17,13,85.77
31,"MG",2020-05-22,5995,201,399,10,122,0,12,0,-40,7,-26,-33,-17,13,85.77
31,"MG",2020-05-23,6338,217,343,16,6338,217,343,16,-49,1,-31,-36,-12,11,79.38
31,"MG",2020-05-23,6338,217,343,16,133,0,11,0,-49,1,-31,-36,-12,11,79.38
31,"MG",2020-05-24,6668,226,330,9,6668,226,330,9,-62,-15,-48,-51,-13,12,51.08
31,"MG",2020-05-24,6668,226,330,9,137,0,4,0,-62,-15,-48,-51,-13,12,51.08
31,"MG",2020-05-25,6962,230,294,4,6962,230,294,4,-38,-3,-27,-35,-17,14,70.44
31,"MG",2020-05-25,6962,230,294,4,142,0,5,0,-38,-3,-27,-35,-17,14,70.44
31,"MG",2020-05-26,7516,234,554,4,7516,234,554,4,-39,-3,-28,-34,-18,13,72.99
31,"MG",2020-05-26,7516,234,554,4,146,0,4,0,-39,-3,-28,-34,-18,13,72.99
31,"MG",2020-05-27,8011,240,495,6,8011,240,495,6,-38,-1,-25,-34,-18,13,72.52
31,"MG",2020-05-27,8011,240,495,6,148,1,2,1,-38,-1,-25,-34,-18,13,72.52
31,"MG",2020-05-28,8686,255,675,15,8686,255,675,15,-36,3,-25,-33,-16,14,75.73
31,"MG",2020-05-28,8686,255,675,15,152,5,4,4,-36,3,-25,-33,-16,14,75.73
31,"MG",2020-05-29,9232,257,546,2,9232,257,546,2,-35,12,-24,-29,-13,13,87.14
31,"MG",2020-05-29,9232,257,546,2,160,5,8,0,-35,12,-24,-29,-13,13,87.14
31,"MG",2020-05-30,9630,263,398,6,9630,263,398,6,-43,9,-25,-31,-6,10,85.69
31,"MG",2020-05-30,9630,263,398,6,163,5,3,0,-43,9,-25,-31,-6,10,85.69
31,"MG",2020-05-31,10464,271,834,8,10464,271,834,8,-53,-2,-32,-41,-4,10,56.34
31,"MG",2020-05-31,10464,271,834,8,217,5,54,0,-53,-2,-32,-41,-4,10,56.34
31,"MG",2020-06-01,10670,278,206,7,10670,278,206,7,-35,3,-22,-31,-14,13,72.12
31,"MG",2020-06-01,10670,278,206,7,194,5,-23,0,-35,3,-22,-31,-14,13,72.12
31,"MG",2020-06-02,10939,289,269,11,10939,289,269,11,-37,3,-24,-31,-16,12,76.21
31,"MG",2020-06-02,10939,289,269,11,199,5,5,0,-37,3,-24,-31,-16,12,76.21
31,"MG",2020-06-03,12010,306,1071,17,12010,306,1071,17,-35,3,-22,-30,-15,13,80.59
31,"MG",2020-06-03,12010,306,1071,17,219,5,20,0,-35,3,-22,-30,-15,13,80.59
31,"MG",2020-06-04,13034,323,1024,17,13034,323,1024,17,-34,8,-21,-29,-14,13,80.22
31,"MG",2020-06-04,13034,323,1024,17,220,6,1,1,-34,8,-21,-29,-14,13,80.22
31,"MG",2020-06-05,13995,344,961,21,13995,344,961,21,-31,20,-19,-24,-12,12,95.44
31,"MG",2020-06-05,13995,344,961,21,230,8,10,2,-31,20,-19,-24,-12,12,95.44
31,"MG",2020-06-06,14939,368,944,24,14939,368,944,24,-41,15,-21,-26,-5,10,94.04
31,"MG",2020-06-06,14939,368,944,24,232,9,2,1,-41,15,-21,-26,-5,10,94.04
31,"MG",2020-06-07,15703,376,764,8,15703,376,764,8,-52,2,-31,-38,-3,10,61.96
31,"MG",2020-06-07,15703,376,764,8,239,9,7,0,-52,2,-31,-38,-3,10,61.96
31,"MG",2020-06-08,15883,380,180,4,15883,380,180,4,-31,7,-19,-28,-11,12,77.87
31,"MG",2020-06-08,15883,380,180,4,239,9,0,0,-31,7,-19,-28,-11,12,77.87
31,"MG",2020-06-09,16102,399,219,19,16102,399,219,19,-32,6,-22,-28,-14,11,86.14
31,"MG",2020-06-09,16102,399,219,19,253,11,14,2,-32,6,-22,-28,-14,11,86.14
31,"MG",2020-06-10,17501,409,1399,10,17501,409,1399,10,-25,17,-14,-22,-13,10,98.98
31,"MG",2020-06-10,17501,409,1399,10,268,12,15,1,-25,17,-14,-22,-13,10,98.98
31,"MG",2020-06-11,18448,431,947,22,18448,431,947,22,-55,-15,-24,-51,-54,20,82.45
31,"MG",2020-06-11,18448,431,947,22,404,13,136,1,-55,-15,-24,-51,-54,20,82.45
31,"MG",2020-06-12,20106,446,1658,15,20106,446,1658,15,-27,26,-14,-29,-23,13,104.86
31,"MG",2020-06-12,20106,446,1658,15,408,13,4,0,-27,26,-14,-29,-23,13,104.86
31,"MG",2020-06-13,20614,454,508,8,20614,454,508,8,-45,4,-16,-32,-9,10,84.77
31,"MG",2020-06-13,20614,454,508,8,367,12,-41,-1,-45,4,-16,-32,-9,10,84.77
31,"MG",2020-06-14,21381,475,767,21,21381,475,767,21,-50,-3,-22,-38,1,8,66.36
31,"MG",2020-06-14,21381,475,767,21,376,13,9,1,-50,-3,-22,-38,1,8,66.36
31,"MG",2020-06-15,21728,481,347,6,21728,481,347,6,-32,3,-20,-27,-11,12,78.58
31,"MG",2020-06-15,21728,481,347,6,378,13,2,0,-32,3,-20,-27,-11,12,78.58
31,"MG",2020-06-16,22024,502,296,21,22024,502,296,21,-35,2,-25,-29,-15,13,79.67
31,"MG",2020-06-16,22024,502,296,21,374,13,-4,0,-35,2,-25,-29,-15,13,79.67
31,"MG",2020-06-17,23347,537,1323,35,23347,537,1323,35,-35,1,-24,-29,-15,13,79.67
31,"MG",2020-06-17,23347,537,1323,35,370,14,-4,1,-35,1,-24,-29,-15,13,79.67
31,"MG",2020-06-18,24906,570,1559,33,24906,570,1559,33,-33,3,-22,-28,-13,13,81.39
31,"MG",2020-06-18,24906,570,1559,33,408,15,38,1,-33,3,-22,-28,-13,13,81.39
31,"MG",2020-06-19,26052,600,1146,30,26052,600,1146,30,-34,10,-23,-26,-12,12,93.78
31,"MG",2020-06-19,26052,600,1146,30,410,15,2,0,-34,10,-23,-26,-12,12,93.78
31,"MG",2020-06-20,27305,636,1253,36,27305,636,1253,36,-43,7,-23,-29,-4,11,91.03
31,"MG",2020-06-20,27305,636,1253,36,429,16,19,1,-43,7,-23,-29,-4,11,91.03
31,"MG",2020-06-21,27641,661,336,25,27641,661,336,25,-51,-2,-26,-38,1,10,64.74
31,"MG",2020-06-21,27641,661,336,25,435,19,6,3,-51,-2,-26,-38,1,10,64.74
31,"MG",2020-06-22,28918,688,1277,27,28918,688,1277,27,-35,-1,-22,-30,-13,13,80.53
31,"MG",2020-06-22,28918,688,1277,27,437,19,2,0,-35,-1,-22,-30,-13,13,80.53
31,"MG",2020-06-23,29897,720,979,32,29897,720,979,32,-37,0,-23,-29,-16,13,81.24
31,"MG",2020-06-23,29897,720,979,32,454,19,17,0,-37,0,-23,-29,-16,13,81.24
31,"MG",2020-06-24,31343,771,1446,51,31343,771,1446,51,-37,-2,-22,-30,-17,13,83.73
31,"MG",2020-06-24,31343,771,1446,51,461,21,7,2,-37,-2,-22,-30,-17,13,83.73
31,"MG",2020-06-25,32769,806,1426,35,32769,806,1426,35,-35,4,-21,-29,-14,13,82.78
31,"MG",2020-06-25,32769,806,1426,35,464,21,3,0,-35,4,-21,-29,-14,13,82.78
31,"MG",2020-06-26,38891,833,6122,27,38891,833,6122,27,-36,10,-23,-26,-12,13,96.58
31,"MG",2020-06-26,38891,833,6122,27,279,20,-185,-1,-36,10,-23,-26,-12,13,96.58
31,"MG",2020-06-27,40966,882,2075,49,40966,882,2075,49,-46,5,-24,-30,-7,12,88.92
31,"MG",2020-06-27,40966,882,2075,49,279,21,0,1,-46,5,-24,-30,-7,12,88.92
31,"MG",2020-06-28,42741,899,1775,17,42741,899,1775,17,-53,-3,-30,-40,-2,10,61.4
31,"MG",2020-06-28,42741,899,1775,17,388,21,109,0,-53,-3,-30,-40,-2,10,61.4
31,"MG",2020-06-29,43864,940,1123,41,43864,940,1123,41,-39,-4,-27,-33,-14,13,76.78
31,"MG",2020-06-29,43864,940,1123,41,388,21,0,0,-39,-4,-27,-33,-14,13,76.78
31,"MG",2020-06-30,45001,965,1137,25,45001,965,1137,25,-37,6,-25,-31,-16,13,82.35
31,"MG",2020-06-30,45001,965,1137,25,433,21,45,0,-37,6,-25,-31,-16,13,82.35
31,"MG",2020-07-01,47584,1007,2583,42,47584,1007,2583,42,-36,7,-24,-30,-16,13,83.51
31,"MG",2020-07-01,47584,1007,2583,42,684,21,251,0,-36,7,-24,-30,-16,13,83.51
31,"MG",2020-07-02,50707,1059,3123,52,50707,1059,3123,52,-34,12,-22,-30,-14,13,86.26
31,"MG",2020-07-02,50707,1059,3123,52,684,21,0,0,-34,12,-22,-30,-14,13,86.26
31,"MG",2020-07-03,53351,1110,2644,51,53351,1110,2644,51,-35,17,-23,-26,-13,13,102.42
31,"MG",2020-07-03,53351,1110,2644,51,684,21,0,0,-35,17,-23,-26,-13,13,102.42
31,"MG",2020-07-04,55958,1183,2607,73,55958,1183,2607,73,-43,15,-21,-30,-6,11,96.24
31,"MG",2020-07-04,55958,1183,2607,73,519,21,-165,0,-43,15,-21,-30,-6,11,96.24
31,"MG",2020-07-05,58283,1201,2325,18,58283,1201,2325,18,-51,4,-26,-38,-1,10,65.81
31,"MG",2020-07-05,58283,1201,2325,18,528,21,9,0,-51,4,-26,-38,-1,10,65.81
31,"MG",2020-07-06,59626,1230,1343,29,59626,1230,1343,29,-32,10,-18,-27,-13,12,83.98
31,"MG",2020-07-06,59626,1230,1343,29,528,21,0,0,-32,10,-18,-27,-13,12,83.98
31,"MG",2020-07-07,60897,1282,1271,52,60897,1282,1271,52,-32,15,-19,-26,-16,12,92.01
31,"MG",2020-07-07,60897,1282,1271,52,528,21,0,0,-32,15,-19,-26,-16,12,92.01
31,"MG",2020-07-08,64035,1355,3138,73,64035,1355,3138,73,-33,11,-17,-27,-15,12,90.86
31,"MG",2020-07-08,64035,1355,3138,73,522,21,-6,0,-33,11,-17,-27,-15,12,90.86
31,"MG",2020-07-09,66864,1445,2829,90,66864,1445,2829,90,-32,13,-18,-27,-14,13,93.97
31,"MG",2020-07-09,66864,1445,2829,90,525,21,3,0,-32,13,-18,-27,-14,13,93.97
31,"MG",2020-07-10,70086,1504,3222,59,70086,1504,3222,59,-32,20,-19,-24,-11,12,122.23
31,"MG",2020-07-10,70086,1504,3222,59,502,21,-23,0,-32,20,-19,-24,-11,12,122.23
31,"MG",2020-07-11,73813,1550,3727,46,73813,1550,3727,46,-42,13,-17,-27,-6,10,102.08
31,"MG",2020-07-11,73813,1550,3727,46,484,21,-18,0,-42,13,-17,-27,-6,10,102.08
31,"MG",2020-07-12,75851,1576,2038,26,75851,1576,2038,26,-49,3,-21,-37,-1,9,72.85
31,"MG",2020-07-12,75851,1576,2038,26,484,21,0,0,-49,3,-21,-37,-1,9,72.85
31,"MG",2020-07-13,76822,1615,971,39,76822,1615,971,39,-32,5,-18,-29,-13,12,88.75
31,"MG",2020-07-13,76822,1615,971,39,488,21,4,0,-32,5,-18,-29,-13,12,88.75
31,"MG",2020-07-14,78643,1688,1821,73,78643,1688,1821,73,-34,5,-21,-29,-16,12,95.27
31,"MG",2020-07-14,78643,1688,1821,73,501,21,13,0,-34,5,-21,-29,-16,12,95.27
31,"MG",2020-07-15,82010,1752,3367,64,82010,1752,3367,64,-33,7,-20,-28,-15,12,95.63
31,"MG",2020-07-15,82010,1752,3367,64,490,21,-11,0,-33,7,-20,-28,-15,12,95.63
31,"MG",2020-07-16,84470,1834,2460,82,84470,1834,2460,82,-33,9,-20,-28,-15,13,96.45
31,"MG",2020-07-16,84470,1834,2460,82,490,23,0,2,-33,9,-20,-28,-15,13,96.45
31,"MG",2020-07-17,87271,1904,2801,70,87271,1904,2801,70,-32,16,-19,-25,-12,12,110.41
31,"MG",2020-07-17,87271,1904,2801,70,477,24,-13,1,-32,16,-19,-25,-12,12,110.41
31,"MG",2020-07-18,90875,1964,3604,60,90875,1964,3604,60,-42,10,-17,-29,-5,10,100.22
31,"MG",2020-07-18,90875,1964,3604,60,461,24,-16,0,-42,10,-17,-29,-5,10,100.22
31,"MG",2020-07-19,92972,1982,2097,18,92972,1982,2097,18,-49,2,-21,-37,-2,9,73.29
31,"MG",2020-07-19,92972,1982,2097,18,487,24,26,0,-49,2,-21,-37,-2,9,73.29
31,"MG",2020-07-20,94132,2004,1160,22,94132,2004,1160,22,-31,6,-18,-28,-12,12,94.68
31,"MG",2020-07-20,94132,2004,1160,22,487,24,0,0,-31,6,-18,-28,-12,12,94.68
31,"MG",2020-07-21,95566,2071,1434,67,95566,2071,1434,67,-33,5,-20,-28,-15,12,91.05
31,"MG",2020-07-21,95566,2071,1434,67,491,28,4,4,-33,5,-20,-28,-15,12,91.05
31,"MG",2020-07-22,98741,2166,3175,95,98741,2166,3175,95,-32,5,-19,-27,-14,12,95.36
31,"MG",2020-07-22,98741,2166,3175,95,491,28,0,0,-32,5,-19,-27,-14,12,95.36
31,"MG",2020-07-23,102568,2238,3827,72,102568,2238,3827,72,-31,9,-17,-26,-12,12,95.94
31,"MG",2020-07-23,102568,2238,3827,72,493,29,2,1,-31,9,-17,-26,-12,12,95.94
31,"MG",2020-07-24,106812,2315,4244,77,106812,2315,4244,77,-32,15,-18,-23,-10,12,112.97
31,"MG",2020-07-24,106812,2315,4244,77,493,29,0,0,-32,15,-18,-23,-10,12,112.97
31,"MG",2020-07-25,110093,2404,3281,89,110093,2404,3281,89,-40,11,-13,-26,-5,10,108.28
31,"MG",2020-07-25,110093,2404,3281,89,494,29,1,0,-40,11,-13,-26,-5,10,108.28
31,"MG",2020-07-26,112571,2429,2478,25,112571,2429,2478,25,NA,NA,NA,NA,NA,NA,75.82
31,"MG",2020-07-26,112571,2429,2478,25,494,29,0,0,NA,NA,NA,NA,NA,NA,75.82
31,"MG",2020-07-27,113718,2461,1147,32,113718,2461,1147,32,NA,NA,NA,NA,NA,NA,89.61
31,"MG",2020-07-27,113718,2461,1147,32,494,29,0,0,NA,NA,NA,NA,NA,NA,89.61
31,"MG",2020-07-28,116645,2551,2927,90,116645,2551,2927,90,NA,NA,NA,NA,NA,NA,73.8645210727969
31,"MG",2020-07-28,116645,2551,2927,90,494,29,0,0,NA,NA,NA,NA,NA,NA,73.8645210727969
31,"MG",2020-07-29,119394,2608,2749,57,119394,2608,2749,57,NA,NA,NA,NA,NA,NA,73.8645210727969
31,"MG",2020-07-29,119394,2608,2749,57,494,29,0,0,NA,NA,NA,NA,NA,NA,73.8645210727969
15,"PA",2020-03-18,1,0,1,0,0,0,0,0,-13,8,-16,-7,1,4,79.53
15,"PA",2020-03-19,1,0,0,0,1,0,1,0,-25,4,-26,-12,-10,8,72.68
15,"PA",2020-03-20,2,0,1,0,2,0,1,0,-30,6,-34,-18,-11,10,68.51
15,"PA",2020-03-21,2,0,0,0,2,0,0,0,-52,-7,-48,-26,-16,12,63.83
15,"PA",2020-03-22,4,0,2,0,4,0,2,0,-64,-22,-59,-50,-21,13,43.79
15,"PA",2020-03-23,5,0,1,0,5,0,1,0,-52,-17,-42,-46,-27,15,53.66
15,"PA",2020-03-24,5,0,0,0,5,0,0,0,-57,-24,-46,-53,-36,15,52.33
15,"PA",2020-03-25,7,0,2,0,7,0,2,0,-56,-23,-43,-56,-37,16,54.08
15,"PA",2020-03-26,13,0,6,0,13,0,6,0,-55,-22,-43,-52,-37,15,56.18
15,"PA",2020-03-27,16,0,3,0,13,0,0,0,-55,-19,-47,-53,-34,16,61.95
15,"PA",2020-03-28,18,0,2,0,17,0,4,0,-58,-22,-49,-55,-26,13,66.91
15,"PA",2020-03-29,20,0,2,0,18,0,1,0,-61,-25,-53,-64,-19,12,51.25
15,"PA",2020-03-30,26,0,6,0,21,0,3,0,-49,-20,-41,-53,-29,14,57.27
15,"PA",2020-03-31,34,0,8,0,32,0,11,0,-46,-15,-41,-50,-30,13,56.85
15,"PA",2020-04-01,41,1,7,1,40,1,8,1,-44,-10,-36,-47,-30,13,64.91
15,"PA",2020-04-02,49,1,8,0,46,1,6,0,-44,-9,-35,-46,-29,14,64.95
15,"PA",2020-04-03,75,1,26,0,50,1,4,0,-46,-7,-42,-48,-27,16,72.89
15,"PA",2020-04-04,82,1,7,0,80,1,30,0,-51,-8,-45,-48,-20,12,80.34
15,"PA",2020-04-05,86,1,4,0,86,1,6,0,-58,-16,-53,-62,-18,12,55.91
15,"PA",2020-04-06,123,5,37,4,102,3,16,2,-41,-7,-33,-48,-25,12,65.74
15,"PA",2020-04-07,154,5,31,0,138,5,36,2,-41,-5,-33,-44,-28,11,67.97
15,"PA",2020-04-08,165,6,11,1,167,6,29,1,-42,-5,-35,-49,-29,12,72.43
15,"PA",2020-04-09,169,7,4,1,168,7,1,1,-40,7,-31,-48,-32,11,75.57
15,"PA",2020-04-10,217,9,48,2,170,9,2,2,-72,-50,-56,-80,-67,23,60.73
15,"PA",2020-04-11,237,11,20,2,217,10,47,1,-50,-7,-49,-57,-25,14,85.26
15,"PA",2020-04-12,259,14,22,3,246,13,29,3,-60,-20,-59,-69,-19,12,52.75
15,"PA",2020-04-13,310,14,51,0,270,15,24,2,-45,-15,-38,-58,-26,14,62.83
15,"PA",2020-04-14,384,21,74,7,323,19,53,4,-52,-23,-47,-52,-32,16,65.99
15,"PA",2020-04-15,487,21,103,0,384,21,61,2,-46,-12,-36,-49,-30,15,67.28
15,"PA",2020-04-16,557,26,70,5,438,24,54,3,-45,-11,-34,-46,-30,15,71.1
15,"PA",2020-04-17,627,32,70,6,557,26,119,2,-52,-16,-48,-57,-32,20,67.95
15,"PA",2020-04-18,641,33,14,1,640,33,83,7,-54,-10,-47,-58,-21,14,79.24
15,"PA",2020-04-19,685,34,44,1,685,34,45,1,-62,-21,-57,-70,-20,14,58.56
15,"PA",2020-04-20,902,35,217,1,902,35,217,1,-46,-9,-36,-59,-33,15,64.29
15,"PA",2020-04-21,1026,38,124,3,1026,38,124,3,-67,-36,-47,-71,-60,21,53.23
15,"PA",2020-04-22,1195,43,169,5,1195,43,169,5,-48,-10,-37,-56,-32,14,67.55
15,"PA",2020-04-23,1267,53,72,10,1267,53,72,10,-49,-11,-38,-47,-32,15,70.2
15,"PA",2020-04-24,1579,86,312,33,1446,75,179,22,-53,-13,-48,-53,-31,17,66.08
15,"PA",2020-04-25,1745,95,166,9,1579,86,133,11,-56,-12,-48,-54,-22,14,76.47
15,"PA",2020-04-26,2070,114,325,19,1867,100,288,14,-64,-20,-58,-67,-21,15,48.25
15,"PA",2020-04-27,2219,122,149,8,2128,114,261,14,-49,-10,-36,-54,-30,17,62.08
15,"PA",2020-04-28,2319,132,100,10,2262,129,134,15,-50,-7,-36,-52,-34,13,67.49
15,"PA",2020-04-29,2586,156,267,24,2422,137,160,8,-50,-7,-37,-48,-35,16,66.03
15,"PA",2020-04-30,2999,224,413,68,2876,208,454,71,-49,2,-36,-48,-36,16,75.63
15,"PA",2020-05-01,3359,263,360,39,3176,235,300,27,-71,-39,-56,-74,-62,26,61.62
15,"PA",2020-05-02,3727,306,368,43,3460,273,284,38,-58,-6,-50,-57,-28,16,74.43
15,"PA",2020-05-03,3920,317,193,11,3863,309,403,36,-66,-20,-59,-69,-23,15,52.85
15,"PA",2020-05-04,4262,344,342,27,4125,330,262,21,-50,-6,-37,-53,-32,15,74.41
15,"PA",2020-05-05,4756,375,494,31,4472,369,347,39,-48,1,-36,-42,-35,14,77.26
15,"PA",2020-05-06,5524,410,768,35,5017,392,545,23,-46,5,-31,-38,-35,15,84.44
15,"PA",2020-05-07,5935,488,411,78,5524,410,507,18,-53,-6,-40,-51,-38,17,70.99
15,"PA",2020-05-08,6519,574,584,86,6141,515,617,105,-53,-1,-45,-52,-35,20,78.03
15,"PA",2020-05-09,7018,610,499,36,6775,578,634,63,-56,-2,-50,-52,-26,17,91.88
15,"PA",2020-05-10,7348,672,330,62,7256,652,481,74,-66,-20,-61,-69,-17,15,56.66
15,"PA",2020-05-11,8069,812,721,140,7563,708,307,56,-57,-21,-44,-59,-37,20,93.4769230769231
15,"PA",2020-05-12,9059,914,990,102,8616,864,1053,156,-56,-16,-43,-58,-39,18,93.4769230769231
15,"PA",2020-05-13,10344,1022,1285,108,9618,946,1002,82,-58,-20,-43,-57,-40,19,67.28
15,"PA",2020-05-14,11479,1095,1135,73,10867,1063,1249,117,-58,-19,-45,-57,-39,18,67.64
15,"PA",2020-05-15,12626,1175,1147,80,12109,1145,1242,82,-59,-16,-51,-57,-37,22,72.95
15,"PA",2020-05-16,13464,1223,838,48,13184,1199,1075,54,-63,-20,-56,-59,-29,18,78.18
15,"PA",2020-05-17,14201,1280,737,57,13864,1239,680,40,-69,-26,-64,-69,-23,16,49.5
15,"PA",2020-05-18,15467,1392,1266,112,14734,1329,870,90,-55,-13,-42,-57,-34,17,71.3
15,"PA",2020-05-19,17177,1554,1710,162,16295,1519,1561,190,-59,-21,-48,-60,-39,18,66.7
15,"PA",2020-05-20,18929,1778,1752,224,18135,1633,1840,114,-58,-18,-45,-57,-39,18,74.95
15,"PA",2020-05-21,20532,1893,1603,115,19756,1852,1621,219,-59,-18,-46,-58,-39,19,73.34
15,"PA",2020-05-22,22697,2003,2165,110,21469,1937,1713,85,-59,-15,-52,-59,-36,20,81.38
15,"PA",2020-05-23,24125,2150,1428,147,22697,2001,1228,64,-64,-19,-56,-60,-26,16,79.8
15,"PA",2020-05-24,24815,2290,690,140,24125,2148,1428,147,-67,-22,-60,-69,-18,15,56.27
15,"PA",2020-05-25,27366,2431,2551,141,26077,2372,1952,224,-47,-5,-33,-49,-28,16,77.51
15,"PA",2020-05-26,29882,2522,2516,91,28600,2469,2523,97,-49,-7,-37,-50,-30,15,79.78
15,"PA",2020-05-27,31671,2605,1789,83,31033,2545,2433,76,-47,-3,-32,-48,-30,15,83.97
15,"PA",2020-05-28,35132,2785,3461,180,33699,2704,2666,159,-47,-1,-32,-46,-30,17,89.63
15,"PA",2020-05-29,37296,2900,2164,115,36486,2827,2787,123,-48,3,-39,-47,-27,19,98.75
15,"PA",2020-05-30,37859,2920,563,20,37296,2900,810,73,-54,-4,-46,-49,-17,14,100.88
15,"PA",2020-05-31,37961,2923,102,3,37961,2923,665,23,-61,-6,-51,-63,-9,13,68.72
15,"PA",2020-06-01,40014,3019,2053,96,38046,2925,85,2,-41,1,-31,-45,-22,15,89.44
15,"PA",2020-06-02,43652,3144,3638,125,41207,3040,3161,115,-37,11,-25,-44,-24,13,98.58
15,"PA",2020-06-03,46473,3245,2821,101,44774,3193,3567,153,-37,8,-23,-42,-23,14,97.75
15,"PA",2020-06-04,49473,3492,3000,247,48049,3416,3275,223,-38,8,-25,-41,-24,14,100.17
15,"PA",2020-06-05,53860,3665,4387,173,50960,3538,2911,122,-38,16,-30,-40,-20,15,111.14
